V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
9.0,8.88888888888889,32,0.0,70.47,153.0,,11.0,11.0,14.0,18.0,,1.261437908496732,1.5032679738562091
3.0,3.3333333333333335,26,1.0,63.5,95.0,,1.0,1.0,4.0,15.0,,1.0,1.1578947368421053
6.0,5.0,28,0.0,70.0,150.0,70.0,1.0,0.0,27.0,36.0,0.0,1.5333333333333332,2.0133333333333336
3.0,3.3333333333333335,36,0.0,67.0,147.0,69.0,11.0,0.0,20.0,40.0,2.0,1.2380952380952381,1.3401360544217686
7.0,5.555555555555555,37,0.0,70.0,159.0,71.0,9.0,1.0,23.0,40.0,1.0,1.1383647798742138,1.691823899371069
7.0,8.333333333333334,37,0.0,69.0,167.0,69.5,9.0,3.0,15.0,41.0,0.5,1.3592814371257484,1.3293413173652695
6.0,4.166666666666667,32,0.0,74.0,188.0,,3.0,1.0,14.0,30.0,,1.351063829787234,1.4787234042553192
4.0,8.333333333333334,49,0.0,66.0,154.0,67.5,11.0,5.0,15.0,31.0,1.5,1.1623376623376624,1.422077922077922
7.0,8.333333333333334,39,0.0,73.0,183.0,75.0,5.0,1.0,18.0,42.0,2.0,1.3278688524590163,1.4918032786885247
5.0,4.166666666666667,27,1.0,66.0,133.0,67.0,3.0,1.0,28.0,14.0,1.0,1.4285714285714286,
4.0,2.2222222222222223,33,0.0,69.25,146.0,70.0,9.0,1.0,18.0,63.0,0.75,1.2397260273972603,1.5136986301369864
4.0,5.0,30,0.0,74.0,182.0,75.0,7.0,1.0,14.0,24.0,1.0,1.1373626373626373,1.412087912087912
6.0,3.3333333333333335,39,0.0,72.0,172.0,73.0,11.0,3.0,15.0,31.0,1.0,1.3837209302325582,1.4883720930232558
6.0,2.2222222222222223,27,0.0,69.0,165.0,75.0,3.0,0.0,19.0,54.0,6.0,1.4242424242424243,1.5454545454545454
3.0,4.444444444444445,41,0.0,74.0,199.0,71.0,11.0,3.0,7.0,14.0,-3.0,1.1758793969849246,1.2261306532663316
10.0,8.333333333333334,27,0.0,71.0,152.0,74.0,7.0,5.0,29.0,46.0,3.0,1.611842105263158,2.0328947368421053
8.0,5.333333333333333,36,0.0,68.0,162.0,72.0,11.0,7.0,17.0,36.0,4.0,1.3024691358024691,1.4876543209876543
10.0,13.333333333333334,31,0.0,71.0,155.0,73.0,5.0,1.0,20.0,30.0,2.0,1.3870967741935485,1.5483870967741935
11.0,10.0,33,0.0,67.0,155.0,71.0,11.0,5.0,15.0,30.0,4.0,1.5806451612903225,1.5483870967741935
7.0,15.333333333333334,41,0.0,74.0,160.0,76.0,11.0,5.0,10.0,11.0,2.0,1.375,1.5
10.0,5.0,30,1.0,61.0,112.0,62.0,11.0,9.0,13.0,19.0,1.0,1.7142857142857144,1.5357142857142856
